Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x02_Pin,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,140.865,-142.24,90.0,top
J2,Conn_01x02_Pin,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,264.23,-142.24,-90.0,top
J3,Conn_01x02_Pin,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,142.652225,-167.055159,180.0,top
J4,Conn_01x02_Pin,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,142.704896,-116.991755,0.0,top
J5,Conn_01x02_Pin,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,162.972224,-167.05516,180.0,top
J6,Conn_01x02_Pin,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,163.024896,-116.991755,0.0,top
J7,Conn_01x02_Pin,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,183.292225,-167.05516,180.0,top
J8,Conn_01x02_Pin,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,183.344895,-116.991754,0.0,top
J9,Conn_01x02_Pin,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,203.612224,-167.055159,180.0,top
J10,Conn_01x02_Pin,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,203.664896,-116.991754,0.0,top
J11,Conn_01x02_Pin,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,223.932225,-167.055159,180.0,top
J12,Conn_01x02_Pin,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,223.984895,-116.991755,0.0,top
J13,Conn_01x02_Pin,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,244.252224,-167.05516,180.0,top
J14,Conn_01x02_Pin,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,244.304896,-116.991755,0.0,top
J15,Conn_01x02_Pin,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,264.572224,-167.05516,180.0,top
J16,Conn_01x02_Pin,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,264.624895,-116.991754,0.0,top
